"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"6955","21384","Marey-lès-Fussey","marey-les-fussey","marey les fussey","21","27","0",,"21700","47.1216169151","4.86215236749"
"6956","21385","Marey-sur-Tille","marey-sur-tille","marey sur tille","21","27","0",,"21120","47.5943124661","5.08179187571"
"6957","21386","Marigny-le-Cahouët","marigny-le-cahouet","marigny le cahouet","21","27","0",,"21150","47.4553560135","4.45343866835"
"6958","21387","Marigny-lès-Reullée","marigny-les-reullee","marigny les reullee","21","27","0",,"21200","47.0078863586","4.95818948974"
"6959","21388","Marliens","marliens","marliens","21","27","0",,"21110","47.2164536426","5.17800484677"
"6960","21389","Marmagne","marmagne","marmagne","21","27","0",,"21500","47.6397063583","4.38235676513"
"6961","21390","Marsannay-la-Côte","marsannay-la-cote","marsannay la cote","21","27","0",,"21160","47.2790059419","4.98450898516"
"6962","21391","Marsannay-le-Bois","marsannay-le-bois","marsannay le bois","21","27","0",,"21380","47.4402798544","5.09615121255"
"6963","21392","Martrois","martrois","martrois","21","27","0",,"21320","47.3068577261","4.54607714165"
"6964","21393","Massingy","massingy","massingy","21","27","0",,"21400","47.9022741112","4.59925018266"
"6965","21394","Massingy-lès-Semur","massingy-les-semur","massingy les semur","21","27","0",,"21140","47.5164585084","4.40567595298"
"6966","21395","Massingy-lès-Vitteaux","massingy-les-vitteaux","massingy les vitteaux","21","27","0",,"21350","47.395705764","4.59045021974"
"6967","21396","Mauvilly","mauvilly","mauvilly","21","27","0",,"21510","47.7096666465","4.70428549427"
"6968","21397","Mavilly-Mandelot","mavilly-mandelot","mavilly mandelot","21","27","0",,"21190","47.0605876593","4.73091558724"
"6969","21398","Maxilly-sur-Saône","maxilly-sur-saone","maxilly sur saone","21","27","0",,"21270","47.3312115435","5.41954426061"
"6970","21399","Meilly-sur-Rouvres","meilly-sur-rouvres","meilly sur rouvres","21","27","0",,"21320","47.2060045019","4.55254034085"
"6971","21400","Le Meix","le-meix","le meix","21","27","0",,"21580","47.594167838","4.94307607169"
"6972","21401","Meloisey","meloisey","meloisey","21","27","0",,"21190","47.034440345","4.72026948117"
"6973","21402","Menesble","menesble","menesble","21","27","0",,"21290","47.778606574","4.90206528914"
"6974","21403","Ménessaire","menessaire","menessaire","21","27","0",,"21430","47.1335338458","4.15144155728"
"6975","21404","Ménétreux-le-Pitois","menetreux-le-pitois","menetreux le pitois","21","27","0",,"21150","47.559690561","4.45956971302"
"6976","21405","Merceuil","merceuil","merceuil","21","27","0",,"21190","46.9538298366","4.84790991199"
"6977","21406","Mesmont","mesmont","mesmont","21","27","0",,"21540","47.3122266518","4.74410039616"
"6978","21407","Messanges","messanges","messanges","21","27","0",,"21220","47.1618456396","4.86963425286"
"6979","21408","Messigny-et-Vantoux","messigny-et-vantoux","messigny et vantoux","21","27","0",,"21380","47.4189090037","5.00144598531"
"6980","21409","Meuilley","meuilley","meuilley","21","27","0",,"21700","47.1410996463","4.87828584204"
"6981","21410","Meulson","meulson","meulson","21","27","0",,"21510","47.6921345522","4.70218066483"
"6982","21411","Meursanges","meursanges","meursanges","21","27","0",,"21200","46.9815545496","4.94294705881"
"6983","21412","Meursault","meursault","meursault","21","27","0",,"21190","46.9702784903","4.77216959331"
"6984","21413","Millery","millery","millery","21","27","0",,"21140","47.5135595984","4.31750870868"
"6985","21414","Mimeure","mimeure","mimeure","21","27","0",,"21230","47.1523999496","4.49524544815"
"6986","21415","Minot","minot","minot","21","27","0",,"21510","47.6626858601","4.87161006058"
"6987","21416","Mirebeau-sur-Bèze","mirebeau-sur-beze","mirebeau sur beze","21","27","0",,"21310","47.4024616873","5.32235906024"
"6988","21417","Missery","missery","missery","21","27","0",,"21210","47.3113991733","4.3748363235"
"6989","21418","Moitron","moitron","moitron","21","27","0",,"21510","47.681789677","4.80835298822"
"6990","21419","Molesme","molesme","molesme","21","27","0",,"21330","47.94702901","4.38133026701"
"6991","21420","Molinot","molinot","molinot","21","27","0",,"21340","47.0112430427","4.57969818527"
"6992","21421","Moloy","moloy","moloy","21","27","0",,"21120","47.5393714062","4.92171403878"
"6993","21422","Molphey","molphey","molphey","21","27","0",,"21210","47.33634862","4.20666118075"
"6994","21423","Montagny-lès-Beaune","montagny-les-beaune","montagny les beaune","21","27","0",,"21200","46.9849200277","4.8539733561"
"6995","21424","Montagny-lès-Seurre","montagny-les-seurre","montagny les seurre","21","27","0",,"21250","47.0221158476","5.25126130211"
"6996","21425","Montbard","montbard","montbard","21","27","0",,"21500","47.6576730148","4.35039569753"
"6997","21426","Montberthault","montberthault","montberthault","21","27","0",,"21460","47.4611172528","4.15752601087"
"6998","21427","Montceau-et-Écharnant","montceau-et-echarnant","montceau et echarnant","21","27","0",,"21360","47.0609045646","4.6666655237"
"6999","21428","Monthelie","monthelie","monthelie","21","27","0",,"21190","46.999641101","4.76134767684"
"7000","21429","Montigny-Montfort","montigny-montfort","montigny montfort","21","27","0",,"21500","47.5835649426","4.33909618195"
"7001","21430","Montigny-Saint-Barthélemy","montigny-saint-barthelemy","montigny saint barthelemy","21","27","0",,"21390","47.4200644388","4.26152648889"
"7002","21431","Montigny-sur-Armançon","montigny-sur-armancon","montigny sur armancon","21","27","0",,"21140","47.4400198641","4.37366154755"
"7003","21432","Montigny-sur-Aube","montigny-sur-aube","montigny sur aube","21","27","0",,"21520","47.9541936296","4.75595683457"
"7004","21433","Montigny-Mornay-Villeneuve-sur-Vingeanne","montigny-mornay-villeneuve-sur-vingeanne","montigny mornay villeneuve sur vingeanne","21","27","0",,"21610","47.5685941578","5.45036193766"
"7005","21434","Montlay-en-Auxois","montlay-en-auxois","montlay en auxois","21","27","0",,"21210","47.3313381255","4.26775681243"
"7006","21435","Montliot-et-Courcelles","montliot-et-courcelles","montliot et courcelles","21","27","0",,"21400","47.8949444484","4.56001662806"
"7007","21436","Montmain","montmain","montmain","21","27","0",,"21250","47.0277836478","5.05930420641"
"7008","21437","Montmançon","montmancon","montmancon","21","27","0",,"21270","47.355013072","5.37495539638"
"7009","21438","Montmoyen","montmoyen","montmoyen","21","27","0",,"21290","47.7302494396","4.79445159568"
"7010","21439","Montoillot","montoillot","montoillot","21","27","0",,"21540","47.2727014053","4.65838043081"
"7011","21440","Montot","montot","montot","21","27","0",,"21170","47.1525081033","5.24351442373"
"7012","21441","Mont-Saint-Jean","mont-saint-jean","mont saint jean","21","27","0",,"21320","47.2858528062","4.4113796914"
"7013","21442","Morey-Saint-Denis","morey-saint-denis","morey saint denis","21","27","0",,"21220","47.1999076803","4.96207733314"
"7014","21444","Mosson","mosson","mosson","21","27","0",,"21400","47.9206276016","4.62892350243"
